severity,category,plugin,rule,filePath,line,column,title,message,help
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(app)/help/identity-matching/page.tsx,96,14,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(app)/help/identity-matching/page.tsx,156,14,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(app)/help/identity-matching/page.tsx,163,98,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(app)/help/identity-matching/page.tsx,187,92,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(internal)/eval/page.tsx,60,77,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Bugs,react-doctor,prefer-useReducer,app/(public)/audit/AuditUploadForm.tsx,50,43,Many related useState calls,"10 useState calls in undefinedAuditUploadFormundefined can each trigger a separate render.","Group related state: `const [state, dispatch] = useReducer(reducer, { field1, field2, ... })`"
warning,Performance,react-doctor,rerender-state-only-in-handlers,app/(public)/audit/AuditUploadForm.tsx,57,9,State only used in handlers,"Each update to undefinedcolumnMapundefined redraws your component for nothing because this useState is set but never shown on screen.",Use useRef instead of useState when the value is only set and never shown on screen. `ref.current = ...` updates it without redrawing the component.
warning,Bugs,react-doctor,no-initialize-state,app/(public)/audit/AuditUploadForm.tsx,67,7,State initialized from a mount effect,"Your users see an extra render with empty undefinedemailundefined because a useEffect sets its starting value.","Pass the initial value directly to useState() instead of setting it from a mount-only useEffect. For SSR hydration, prefer useSyncExternalStore()."
warning,Maintainability,react-doctor,prefer-module-scope-static-value,app/(public)/audit/AuditUploadForm.tsx,150,9,Static value rebuilt every render,"`mono` inside `AuditUploadForm` uses no local state but is rebuilt every render, so it looks new each time & breaks memoized children. Move it to the top of the file, outside the component.","Move the value above the component, at the top of the file. It doesn't use local state, so rebuilding it each update is wasted and makes it look new every time."
warning,Maintainability,react-doctor,prefer-module-scope-static-value,app/(public)/audit/AuditUploadForm.tsx,151,9,Static value rebuilt every render,"`sans` inside `AuditUploadForm` uses no local state but is rebuilt every render, so it looks new each time & breaks memoized children. Move it to the top of the file, outside the component.","Move the value above the component, at the top of the file. It doesn't use local state, so rebuilding it each update is wasted and makes it look new every time."
warning,Maintainability,react-doctor,prefer-module-scope-static-value,app/(public)/audit/AuditUploadForm.tsx,152,9,Static value rebuilt every render,"`serif` inside `AuditUploadForm` uses no local state but is rebuilt every render, so it looks new each time & breaks memoized children. Move it to the top of the file, outside the component.","Move the value above the component, at the top of the file. It doesn't use local state, so rebuilding it each update is wasted and makes it look new every time."
warning,Accessibility,react-doctor,no-tiny-text,app/(public)/audit/AuditUploadForm.tsx,161,47,Text is too small,"Your users strain to read 11px text, so use at least 12px for body text, & 16px is best.","Use at least 12px for body text, and 16px is best. Small text is hard to read, especially on phones."
warning,Maintainability,react-doctor,no-wide-letter-spacing,app/(public)/audit/AuditUploadForm.tsx,161,65,Wide letter spacing on body text,"Your users find body text harder to read at 0.08em letter spacing, so save wide spacing for short uppercase labels.","Save wide letter-spacing (over 0.05em) for short uppercase labels, nav items, and buttons, not body text."
warning,Maintainability,react-doctor,no-inline-exhaustive-style,app/(public)/audit/AuditUploadForm.tsx,171,18,Too many inline style properties,"This inline style has 9 properties, which is hard to read & rebuilds every render. Move it to a CSS class, CSS module, or styled component.","Move the styles to a CSS class, CSS module, Tailwind utilities, or a styled component. Big inline objects are hard to read and rebuild on every update."
warning,Accessibility,react-doctor,no-outline-none,app/(public)/audit/AuditUploadForm.tsx,179,13,outline:none removes focus ring,"Your keyboard users can't tell where they are because outline: none hides the focus ring, so style :focus-visible instead, or add a box-shadow focus ring.",Style `:focus-visible { outline: 2px solid var(--color-accent); outline-offset: 2px }` so the focus ring shows for keyboard users but not mouse clicks.
warning,Accessibility,react-doctor,label-has-associated-control,app/(public)/audit/AuditUploadForm.tsx,192,9,Label missing associated control,"Screen reader users can't tell which input this label names because it's tied to none, so add `htmlFor` or wrap the input inside it.","Tie every label to a control with `htmlFor`, or by nesting the input."
warning,Accessibility,react-doctor,no-tiny-text,app/(public)/audit/AuditUploadForm.tsx,193,47,Text is too small,"Your users strain to read 11px text, so use at least 12px for body text, & 16px is best.","Use at least 12px for body text, and 16px is best. Small text is hard to read, especially on phones."
warning,Maintainability,react-doctor,no-wide-letter-spacing,app/(public)/audit/AuditUploadForm.tsx,193,65,Wide letter spacing on body text,"Your users find body text harder to read at 0.08em letter spacing, so save wide spacing for short uppercase labels.","Save wide letter-spacing (over 0.05em) for short uppercase labels, nav items, and buttons, not body text."
warning,Accessibility,react-doctor,click-events-have-key-events,app/(public)/audit/AuditUploadForm.tsx,197,10,Click handler missing keyboard handler,"Keyboard users can't trigger this click handler because there's no keyboard one, so add `onKeyUp`, `onKeyDown`, or `onKeyPress`.",Pair `onClick` with a key handler so keyboard users can trigger it.
warning,Accessibility,react-doctor,no-static-element-interactions,app/(public)/audit/AuditUploadForm.tsx,197,10,Interaction on static element,"Screen reader users can't tell this click handler is interactive because it has no `role`, so add a `role` or use a button or link.","Give clickable static elements a `role`, or use a button or link."
warning,Accessibility,react-doctor,control-has-associated-label,app/(public)/audit/AuditUploadForm.tsx,211,11,Control missing accessible label,"Blind users can't tell what this control does because screen readers find no label, so add visible text, `aria-label`, or `aria-labelledby`.",Give every interactive control a label screen readers can read.
warning,Accessibility,react-doctor,no-tiny-text,app/(public)/audit/AuditUploadForm.tsx,231,36,Text is too small,"Your users strain to read 11px text, so use at least 12px for body text, & 16px is best.","Use at least 12px for body text, and 16px is best. Small text is hard to read, especially on phones."
warning,Maintainability,react-doctor,no-inline-exhaustive-style,app/(public)/audit/AuditUploadForm.tsx,247,16,Too many inline style properties,"This inline style has 10 properties, which is hard to read & rebuilds every render. Move it to a CSS class, CSS module, or styled component.","Move the styles to a CSS class, CSS module, Tailwind utilities, or a styled component. Big inline objects are hard to read and rebuild on every update."
warning,Maintainability,react-doctor,no-inline-exhaustive-style,app/(public)/audit/AuditUploadForm.tsx,276,18,Too many inline style properties,"This inline style has 9 properties, which is hard to read & rebuilds every render. Move it to a CSS class, CSS module, or styled component.","Move the styles to a CSS class, CSS module, Tailwind utilities, or a styled component. Big inline objects are hard to read and rebuild on every update."
warning,Accessibility,react-doctor,no-tiny-text,app/(public)/audit/AuditUploadForm.tsx,296,38,Text is too small,"Your users strain to read 10px text, so use at least 12px for body text, & 16px is best.","Use at least 12px for body text, and 16px is best. Small text is hard to read, especially on phones."
warning,Maintainability,react-doctor,no-wide-letter-spacing,app/(public)/audit/AuditUploadForm.tsx,296,56,Wide letter spacing on body text,"Your users find body text harder to read at 0.10em letter spacing, so save wide spacing for short uppercase labels.","Save wide letter-spacing (over 0.05em) for short uppercase labels, nav items, and buttons, not body text."
warning,Accessibility,react-doctor,no-tiny-text,app/(public)/audit/AuditUploadForm.tsx,304,38,Text is too small,"Your users strain to read 10px text, so use at least 12px for body text, & 16px is best.","Use at least 12px for body text, and 16px is best. Small text is hard to read, especially on phones."
warning,Maintainability,react-doctor,no-wide-letter-spacing,app/(public)/audit/AuditUploadForm.tsx,304,56,Wide letter spacing on body text,"Your users find body text harder to read at 0.10em letter spacing, so save wide spacing for short uppercase labels.","Save wide letter-spacing (over 0.05em) for short uppercase labels, nav items, and buttons, not body text."
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(public)/audit/AuditUploadForm.tsx,304,133,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Maintainability,react-doctor,no-giant-component,app/(app)/customers/[id]/page.tsx,252,31,Component is too large,"Component undefinedCustomerProfilePageundefined is 850 lines long, which is hard to read & change. Split it into a few smaller components.","Pull each section into its own component, like `<UserHeader />` and `<UserActions />`."
warning,Bugs,react-doctor,server-sequential-independent-await,app/(app)/customers/[id]/page.tsx,254,3,Sequential independent awaits,"This await doesn't use the previous result, so your users wait twice as long for nothing.",These two awaits don't depend on each other. Wrap them in `Promise.all([...])` so they run at the same time.
warning,Bugs,react-doctor,server-sequential-independent-await,app/(app)/customers/[id]/page.tsx,335,3,Sequential independent awaits,"This await doesn't use the previous result, so your users wait twice as long for nothing.",These two awaits don't depend on each other. Wrap them in `Promise.all([...])` so they run at the same time.
warning,Performance,react-doctor,js-combine-iterations,app/(app)/customers/[id]/page.tsx,583,8,Chained array iterations,"This loops over your list twice because .filter().map() makes two passes, so do it in one pass with .reduce() or a for...of loop","Combine `.map().filter()` style chains into one pass with `.reduce()` or a `for...of` loop, so you only loop over the list once"
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(app)/customers/[id]/page.tsx,642,73,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Maintainability,react-doctor,design-no-redundant-padding-axes,app/(app)/customers/[id]/page.tsx,827,22,Redundant padding axes,px-3 & py-3 are the same.,Collapse `px-N py-N` to `p-N` when both sides match. Keep them split only when one side changes at a breakpoint (`py-2 md:py-3`).
warning,Maintainability,react-doctor,design-no-redundant-padding-axes,app/(app)/customers/[id]/page.tsx,837,18,Redundant padding axes,px-3 & py-3 are the same.,Collapse `px-N py-N` to `p-N` when both sides match. Keep them split only when one side changes at a breakpoint (`py-2 md:py-3`).
warning,Performance,react-doctor,no-array-index-key,app/(app)/customers/[id]/page.tsx,872,30,Array index used as a key,Your users can see & submit the wrong data when this list reorders.,Use a stable `key` from your data instead of the array index.
warning,Bugs,react-doctor,no-array-index-as-key,app/(app)/customers/[id]/page.tsx,872,30,Array index used as a key,"Your users can see & submit the wrong data when this list reorders or filters, so use a stable id like `key={item.id}`, not the array index undefinedindexundefined.","Use a stable id from the item, like `key={item.id}` or `key={item.slug}`. Index keys break when the list reorders or filters."
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(app)/customers/[id]/page.tsx,932,85,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Performance,react-doctor,no-array-index-key,app/(app)/customers/[id]/page.tsx,942,24,Array index used as a key,Your users can see & submit the wrong data when this list reorders.,Use a stable `key` from your data instead of the array index.
warning,Bugs,react-doctor,no-array-index-as-key,app/(app)/customers/[id]/page.tsx,942,24,Array index used as a key,"Your users can see & submit the wrong data when this list reorders or filters, so use a stable id like `key={item.id}`, not the array index undefinediundefined.","Use a stable id from the item, like `key={item.id}` or `key={item.slug}`. Index keys break when the list reorders or filters."
warning,Performance,react-doctor,no-array-index-key,app/(app)/customers/[id]/page.tsx,949,24,Array index used as a key,Your users can see & submit the wrong data when this list reorders.,Use a stable `key` from your data instead of the array index.
warning,Bugs,react-doctor,no-array-index-as-key,app/(app)/customers/[id]/page.tsx,949,24,Array index used as a key,"Your users can see & submit the wrong data when this list reorders or filters, so use a stable id like `key={item.id}`, not the array index undefinediundefined.","Use a stable id from the item, like `key={item.id}` or `key={item.slug}`. Index keys break when the list reorders or filters."
warning,Performance,react-doctor,no-array-index-key,app/(app)/customers/[id]/page.tsx,956,24,Array index used as a key,Your users can see & submit the wrong data when this list reorders.,Use a stable `key` from your data instead of the array index.
warning,Bugs,react-doctor,no-array-index-as-key,app/(app)/customers/[id]/page.tsx,956,24,Array index used as a key,"Your users can see & submit the wrong data when this list reorders or filters, so use a stable id like `key={item.id}`, not the array index undefinediundefined.","Use a stable id from the item, like `key={item.id}` or `key={item.slug}`. Index keys break when the list reorders or filters."
warning,Performance,react-doctor,no-array-index-key,app/(app)/customers/[id]/page.tsx,964,29,Array index used as a key,Your users can see & submit the wrong data when this list reorders.,Use a stable `key` from your data instead of the array index.
warning,Bugs,react-doctor,no-array-index-as-key,app/(app)/customers/[id]/page.tsx,964,29,Array index used as a key,"Your users can see & submit the wrong data when this list reorders or filters, so use a stable id like `key={item.id}`, not the array index undefinediundefined.","Use a stable id from the item, like `key={item.id}` or `key={item.slug}`. Index keys break when the list reorders or filters."
warning,Performance,react-doctor,no-array-index-key,app/(app)/customers/[id]/page.tsx,974,24,Array index used as a key,Your users can see & submit the wrong data when this list reorders.,Use a stable `key` from your data instead of the array index.
warning,Bugs,react-doctor,no-array-index-as-key,app/(app)/customers/[id]/page.tsx,974,24,Array index used as a key,"Your users can see & submit the wrong data when this list reorders or filters, so use a stable id like `key={item.id}`, not the array index undefinediundefined.","Use a stable id from the item, like `key={item.id}` or `key={item.slug}`. Index keys break when the list reorders or filters."
warning,Performance,react-doctor,no-array-index-key,app/(app)/customers/[id]/page.tsx,981,24,Array index used as a key,Your users can see & submit the wrong data when this list reorders.,Use a stable `key` from your data instead of the array index.
warning,Bugs,react-doctor,no-array-index-as-key,app/(app)/customers/[id]/page.tsx,981,24,Array index used as a key,"Your users can see & submit the wrong data when this list reorders or filters, so use a stable id like `key={item.id}`, not the array index undefinediundefined.","Use a stable id from the item, like `key={item.id}` or `key={item.slug}`. Index keys break when the list reorders or filters."
warning,Performance,react-doctor,no-array-index-key,app/(app)/customers/[id]/page.tsx,996,23,Array index used as a key,Your users can see & submit the wrong data when this list reorders.,Use a stable `key` from your data instead of the array index.
warning,Bugs,react-doctor,no-array-index-as-key,app/(app)/customers/[id]/page.tsx,996,23,Array index used as a key,"Your users can see & submit the wrong data when this list reorders or filters, so use a stable id like `key={item.id}`, not the array index undefinedindexundefined.","Use a stable id from the item, like `key={item.id}` or `key={item.slug}`. Index keys break when the list reorders or filters."
warning,Accessibility,react-doctor,control-has-associated-label,app/(app)/watchlist/page.tsx,200,19,Control missing accessible label,"Blind users can't tell what this control does because screen readers find no label, so add visible text, `aria-label`, or `aria-labelledby`.",Give every interactive control a label screen readers can read.
warning,Maintainability,react-doctor,design-no-redundant-padding-axes,app/(app)/watchlist/page.tsx,210,25,Redundant padding axes,px-3 & py-3 are the same.,Collapse `px-N py-N` to `p-N` when both sides match. Keep them split only when one side changes at a breakpoint (`py-2 md:py-3`).
warning,Maintainability,react-doctor,design-no-redundant-padding-axes,app/(app)/watchlist/page.tsx,214,25,Redundant padding axes,px-3 & py-3 are the same.,Collapse `px-N py-N` to `p-N` when both sides match. Keep them split only when one side changes at a breakpoint (`py-2 md:py-3`).
warning,Maintainability,react-doctor,design-no-redundant-padding-axes,app/(app)/watchlist/page.tsx,218,25,Redundant padding axes,px-3 & py-3 are the same.,Collapse `px-N py-N` to `p-N` when both sides match. Keep them split only when one side changes at a breakpoint (`py-2 md:py-3`).
warning,Maintainability,react-doctor,design-no-redundant-padding-axes,app/(app)/watchlist/page.tsx,219,25,Redundant padding axes,px-3 & py-3 are the same.,Collapse `px-N py-N` to `p-N` when both sides match. Keep them split only when one side changes at a breakpoint (`py-2 md:py-3`).
warning,Maintainability,react-doctor,design-no-redundant-padding-axes,app/(app)/watchlist/page.tsx,222,25,Redundant padding axes,px-3 & py-3 are the same.,Collapse `px-N py-N` to `p-N` when both sides match. Keep them split only when one side changes at a breakpoint (`py-2 md:py-3`).
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(app)/help/how-it-works/page.tsx,23,14,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(app)/help/how-it-works/page.tsx,29,14,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(app)/help/how-it-works/page.tsx,48,14,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(app)/help/how-it-works/page.tsx,57,14,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Bugs,react-doctor,nextjs-missing-metadata,app/(public)/audit/[runId]/report/page.tsx,1,1,Page missing metadata,"This page has no metadata, so search engines & social previews get no title or description.","Add `export const metadata = { title: '...', description: '...' }` or `export async function generateMetadata()`"
warning,Bugs,react-doctor,server-sequential-independent-await,app/(public)/audit/[runId]/report/page.tsx,57,3,Sequential independent awaits,"This await doesn't use the previous result, so your users wait twice as long for nothing.",These two awaits don't depend on each other. Wrap them in `Promise.all([...])` so they run at the same time.
warning,Bugs,react-doctor,no-array-index-as-key,app/(public)/audit/[runId]/report/page.tsx,149,27,Array index used as a key,"Your users can see & submit the wrong data when this list reorders or filters, so use a stable id like `key={item.id}`, not the array index undefinedindexundefined.","Use a stable id from the item, like `key={item.id}` or `key={item.slug}`. Index keys break when the list reorders or filters."
warning,Bugs,react-doctor,prefer-useReducer,app/(public)/landing/PublicAuditForm.tsx,104,43,Many related useState calls,"7 useState calls in undefinedPublicAuditFormundefined can each trigger a separate render.","Group related state: `const [state, dispatch] = useReducer(reducer, { field1, field2, ... })`"
warning,Performance,react-doctor,rerender-state-only-in-handlers,app/(public)/landing/PublicAuditForm.tsx,108,9,State only used in handlers,"Each update to undefinedcolumnMapundefined redraws your component for nothing because this useState is set but never shown on screen.",Use useRef instead of useState when the value is only set and never shown on screen. `ref.current = ...` updates it without redrawing the component.
warning,Accessibility,react-doctor,control-has-associated-label,app/(public)/landing/PublicAuditForm.tsx,166,9,Control missing accessible label,"Blind users can't tell what this control does because screen readers find no label, so add visible text, `aria-label`, or `aria-labelledby`.",Give every interactive control a label screen readers can read.
warning,Accessibility,react-doctor,no-tiny-text,app/(public)/landing/PublicAuditForm.tsx,205,71,Text is too small,"Your users strain to read 11px text, so use at least 12px for body text, & 16px is best.","Use at least 12px for body text, and 16px is best. Small text is hard to read, especially on phones."
